
[Wed Jan 04 18:46:28.763 2017] Begin Peak Summation Update test @ 8000 KHz
[Wed Jan 04 18:46:30.935 2017] ,START,EOL
[Wed Jan 04 18:46:30.951 2017] ,COMMENT,Peak Summation
[Wed Jan 04 18:46:30.967 2017] ,COMMENT,TX BIAS DELAY HAS BEEN REMOVED
[Wed Jan 04 18:46:31.014 2017] ,INFO,BOARD_ID,NA,SOIL_TYPE,NA,START_FREQ,8000,STOP_FREQ,12000,FREQ_INC,100,DELAY_TIME,100,NUM_SEQ_MEASURES,10,FIRMWARE_VERSION,0.1.8,TX_COIL,1,RX_COIL,1
[Wed Jan 04 18:46:31.170 2017] ,ACTION,SOIL TYPE,WATER CONTENT (%),tx_freq_actual (KHz),ADC Value (mV),TEMPERATURE (degC)
[Wed Jan 04 18:47:41.361 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 9400.00,running_sum = 35 (12bit),running_sum = 34 (mV), temp = 23
[Wed Jan 04 18:47:41.767 2017] ,DISCHARGE,NA,NA,9400.00,2,23
[Wed Jan 04 18:47:44.658 2017] ,CHARGING,NA,NA,9500.00,2,23
[Wed Jan 04 18:47:44.783 2017] ,CHARGING,NA,NA,9500.00,2,23
[Wed Jan 04 18:47:45.033 2017] ,MEASURE,NA,NA,9500.00,2,23
[Wed Jan 04 18:47:45.267 2017] ,MEASURE,NA,NA,9500.00,2,23
[Wed Jan 04 18:47:45.502 2017] ,MEASURE,NA,NA,9500.00,2,23
[Wed Jan 04 18:47:45.736 2017] ,MEASURE,NA,NA,9500.00,2,23
[Wed Jan 04 18:47:45.970 2017] ,MEASURE,NA,NA,9500.00,2,23
[Wed Jan 04 18:47:46.002 2017] ,RECORD,NA,NA,9500.00,2,23
[Wed Jan 04 18:47:46.033 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 9500.00,running_sum = 37 (12bit),running_sum = 36 (mV), temp = 23
[Wed Jan 04 18:47:46.455 2017] ,DISCHARGE,NA,NA,9500.00,2,23
[Wed Jan 04 18:47:49.346 2017] ,CHARGING,NA,NA,9600.00,2,23
[Wed Jan 04 18:47:49.471 2017] ,CHARGING,NA,NA,9600.00,2,23
[Wed Jan 04 18:47:49.705 2017] ,MEASURE,NA,NA,9600.00,2,23
[Wed Jan 04 18:47:49.955 2017] ,MEASURE,NA,NA,9600.00,2,23
[Wed Jan 04 18:47:50.189 2017] ,MEASURE,NA,NA,9600.00,2,23
[Wed Jan 04 18:47:50.424 2017] ,MEASURE,NA,NA,9600.00,2,23
[Wed Jan 04 18:47:50.658 2017] ,MEASURE,NA,NA,9600.00,2,23
[Wed Jan 04 18:47:50.689 2017] ,RECORD,NA,NA,9600.00,2,23
[Wed Jan 04 18:47:50.721 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 9600.00,running_sum = 39 (12bit),running_sum = 38 (mV), temp = 23
[Wed Jan 04 18:47:51.142 2017] ,DISCHARGE,NA,NA,9600.00,2,23
[Wed Jan 04 18:47:54.033 2017] ,CHARGING,NA,NA,9700.00,2,23
[Wed Jan 04 18:47:54.158 2017] ,CHARGING,NA,NA,9700.00,2,23
[Wed Jan 04 18:47:54.393 2017] ,MEASURE,NA,NA,9700.00,2,23
[Wed Jan 04 18:47:54.643 2017] ,MEASURE,NA,NA,9700.00,2,23
[Wed Jan 04 18:47:54.877 2017] ,MEASURE,NA,NA,9700.00,2,23
[Wed Jan 04 18:47:55.096 2017] ,MEASURE,NA,NA,9700.00,2,23
[Wed Jan 04 18:47:55.346 2017] ,MEASURE,NA,NA,9700.00,2,23
[Wed Jan 04 18:47:55.377 2017] ,RECORD,NA,NA,9700.00,2,23
[Wed Jan 04 18:47:55.408 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 9700.00,running_sum = 41 (12bit),running_sum = 40 (mV), temp = 23
[Wed Jan 04 18:47:55.815 2017] ,DISCHARGE,NA,NA,9700.00,2,23
[Wed Jan 04 18:47:58.705 2017] ,CHARGING,NA,NA,9800.00,2,23
[Wed Jan 04 18:47:58.846 2017] ,CHARGING,NA,NA,9800.00,2,23
[Wed Jan 04 18:47:59.080 2017] ,MEASURE,NA,NA,9800.00,1,23
[Wed Jan 04 18:47:59.315 2017] ,MEASURE,NA,NA,9800.00,2,23
[Wed Jan 04 18:47:59.565 2017] ,MEASURE,NA,NA,9800.00,2,23
[Wed Jan 04 18:47:59.784 2017] ,MEASURE,NA,NA,9800.00,2,23
[Wed Jan 04 18:48:00.018 2017] ,MEASURE,NA,NA,9800.00,2,23
[Wed Jan 04 18:48:00.049 2017] ,RECORD,NA,NA,9800.00,2,23
[Wed Jan 04 18:48:00.080 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 9800.00,running_sum = 43 (12bit),running_sum = 42 (mV), temp = 23
